dataset	cache_policy	cache_ratio	hit_rate
UK	presample	0.59	0.945002
UK	presample	0.6	0.946696
UK	presample	0.61	0.947746
UK	presample	0.62	0.949198
UK	presample	0.63	0.950788
UK	presample	0.64	0.952215
UK	presample	0.65	0.953931
UK	presample	0.66	0.95538
UK	presample	0.67	0.956605
UK	presample	0.68	0.958074
UK	presample	0.69	0.959646
UK	presample	0.7	0.961041
UK	presample	0.71	0.962467
UK	presample	0.72	0.964101
UK	presample	0.73	0.965281
UK	presample	0.74	0.966665
UK	presample	0.75	0.967917
UK	presample	0.76	0.969068
UK	presample	0.77	0.970439
UK	presample	0.78	0.971897
UK	presample	0.79	0.973457
UK	presample	0.8	0.974829
UK	presample	0.81	0.976232
UK	presample	0.82	0.977826
UK	presample	0.83	0.97933
UK	presample	0.84	0.98071
UK	presample	0.85	0.981978
UK	presample	0.86	0.983052
UK	presample	0.87	0.984236
UK	presample	0.88	0.985855
UK	presample	0.89	0.987399
UK	presample	0.9	0.988531
UK	presample	0.91	0.989806
UK	presample	0.92	0.991001
UK	presample	0.93	0.992079
UK	presample	0.94	0.993221
UK	presample	0.95	0.994327
UK	presample	0.96	0.995309
UK	presample	0.97	0.996571
UK	presample	0.98	0.997616
UK	presample	0.99	0.998692
UK	presample	1	1
PA	degree	0	0
PA	degree	0.01	0.0627557
PA	degree	0.02	0.130944
PA	degree	0.03	0.195862
PA	degree	0.04	0.253659
PA	degree	0.05	0.304156
PA	degree	0.06	0.350182
PA	degree	0.07	0.39669
PA	degree	0.08	0.438098
PA	degree	0.09	0.472349
PA	degree	0.1	0.511906
PA	degree	0.11	0.545111
PA	degree	0.12	0.575742
PA	degree	0.13	0.600424
PA	degree	0.14	0.630715
PA	degree	0.15	0.653575
PA	degree	0.16	0.680694
PA	degree	0.17	0.700391
PA	degree	0.18	0.720981
PA	degree	0.19	0.744809
PA	degree	0.2	0.762117
PA	degree	0.21	0.778434
PA	degree	0.22	0.79425
PA	degree	0.23	0.809192
